"Name","Section/Column","Description","Area","Priority","Status","Launch Gate","Type"
"Finish marketing page mobile polish","Phase 4 — Marketing + Funnel Variants + Launch Polish","Fix layout, spacing, overflow, and usability issues on the public marketing page for smaller screens.","Marketing","P0","Not started","Yes","Polish"
"Tighten homepage and join-page truth alignment","Phase 4 — Marketing + Funnel Variants + Launch Polish","Update public copy so pricing, guarantees, tiers, and promises match the actual product behavior.","Marketing","P0","Not started","Yes","Polish"
"Re-audit FAQ, support, and legal pages","Phase 4 — Marketing + Funnel Variants + Launch Polish","Make sure supporting public pages stay aligned with the current offer, billing logic, and member experience.","Marketing","P1","Not started","Yes","QA / Verification"
"Finish SEO primitives","Phase 4 — Marketing + Funnel Variants + Launch Polish","Verify and complete metadata, sitemap, robots, canonical, and other search-facing hygiene on the public site.","Marketing","P1","Not started","Yes","Feature"
"Verify GA4 and affiliate attribution events","Phase 4 — Marketing + Funnel Variants + Launch Polish","Confirm the key public-site events, referral capture, and campaign attribution behaviors are being recorded as expected.","Marketing","P1","Not started","Yes","QA / Verification"
"Add smoke coverage for high-drift launch routes","Phase 4 — Marketing + Funnel Variants + Launch Polish","Expand targeted smoke coverage for affiliate onboarding, pricing, billing, legal, and support surfaces after the core flows stabilize.","Marketing","P1","Not started","Yes","QA / Verification"
"Trim public third-party script weight","Phase 4 — Marketing + Funnel Variants + Launch Polish","Review analytics and affiliate scripts on public routes and reduce avoidable script weight where practical.","Marketing","P2","Not started","No","Polish"
"Choose minimal production monitoring approach","Blocked / Needs Decision","Decide the smallest acceptable monitoring and incident-review setup for launch so issues are surfaced quickly after release.","Admin / Content","P1","Not started","Yes","Decision"
"Create primary sales page control spec","Phase 4 — Marketing + Funnel Variants + Launch Polish","Document the default paid-offer sales-page structure and keep it as the control version of the funnel.","Funnels / Offers","P1","Not started","Yes","Decision"
"Create VSL sales page spec","Phase 4 — Marketing + Funnel Variants + Launch Polish","Define the Dr. Paul-led video sales-page structure, copy flow, and CTA path before implementation.","Funnels / Offers","P1","Not started","Yes","Decision"
"Build VSL sales page","Phase 4 — Marketing + Funnel Variants + Launch Polish","Implement the trust-heavy VSL page as a direct-to-paid conversion path.","Funnels / Offers","P1","Not started","Yes","Feature"
"Define 7-day trial funnel rules","Blocked / Needs Decision","Decide the exact trial offer, positioning, billing terms, and where trial traffic should be sent before implementation.","Funnels / Offers","P0","Not started","Yes","Decision"
"Create 7-day trial funnel spec","Phase 4 — Marketing + Funnel Variants + Launch Polish","Document the targeted trial-page funnel, lifecycle touchpoints, and attribution requirements before coding it.","Funnels / Offers","P1","Not started","Yes","Experiment"
"Implement 7-day trial checkout and lifecycle","Phase 4 — Marketing + Funnel Variants + Launch Polish","Add the actual Stripe trial logic, onboarding, reminders, cancellation truth, and trial-to-paid handling.","Funnels / Offers","P1","Not started","Yes","Experiment"
"Create partner or webinar landing-page template spec","Phase 4 — Marketing + Funnel Variants + Launch Polish","Define the reusable template for partner, webinar, podcast, and affiliate-specific landing pages.","Funnels / Offers","P1","Not started","Yes","Decision"
"Build partner or webinar landing-page template","Phase 4 — Marketing + Funnel Variants + Launch Polish","Implement a reusable page pattern for co-branded or campaign-specific traffic.","Funnels / Offers","P1","Not started","Yes","Feature"
"Define front-end offer-routing rules","Phase 4 — Marketing + Funnel Variants + Launch Polish","Create the rule set for when traffic should go to the paid page, VSL page, trial page, or partner page.","Funnels / Offers","P0","Not started","Yes","Decision"
"QA all funnel pages on mobile and desktop","Phase 4 — Marketing + Funnel Variants + Launch Polish","Verify the control page, VSL page, trial page, and partner page all work cleanly across devices.","Funnels / Offers","P1","Not started","Yes","QA / Verification"
"Design public non-member partner path","Phase 5 — Deferred / Post-Launch","Define how non-member affiliates or partners should join and operate without forcing a membership purchase.","Affiliate","P2","Not started","No","Decision"
"Define partner/member identity linking model","Phase 5 — Deferred / Post-Launch","Document how partner records, member records, and FirstPromoter promoters should reconcile when the same email or person spans both systems.","Affiliate","P2","Not started","No","Decision"
"Create affiliate success guide","Phase 5 — Deferred / Post-Launch","Build a lightweight success guide that teaches affiliates how to share effectively without mixing enablement into the legal rules page.","Affiliate","P2","Not started","No","Feature"
"Decide blog strategy","Phase 5 — Deferred / Post-Launch","Make an explicit future decision on whether Positives should remain a marketing site or add a real blog.","Marketing","P2","Not started","No","Decision"
"If approved later, define blog CMS and publishing workflow","Phase 5 — Deferred / Post-Launch","Only after launch-critical work is stable, choose the right publishing model and editorial workflow for a blog.","Admin / Content","P2","Not started","No","Feature"
"Capture future landing-page variants backlog","Phase 5 — Deferred / Post-Launch","Hold challenge funnels, extra offers, and variant-page ideas here so they do not interrupt finish-mode work.","Funnels / Offers","P2","Not started","No","Decision"
